nam1	clump	country	mn	se	count	latitude	latrank	totcount	nam2	rank_set11	rank_set6	rank_set6_2	nam3	nam4	nam5	nam_set4	se2
famest	all 0.01	Swiss-German	0.21469143968100776	0.07166326346631427	84	47.3	10	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.023524670552933252
famest	all 0.01	Switzerland	0.03129429592349914	0.04433291284183291	168	46.8	8	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.016689450768768176
famest	all 0.01	United Kingdom	0.9368342853313008	0.035989291181229004	390	55.3	18	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.01093881335672258
famest	all 0.01	Yugoslavia	-1.0847652313505747	0.1082339784482984	44	43.9	4	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.03225925664208522
famest	clump 0.01	Austria	0.34501531111047606	0.1298799922270352	14	47.5	11	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.1183820656843367
famest	clump 0.01	Belgium	0.7916546748634643	0.07025887965348036	43	50.5	13	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.06783725409785134
famest	clump 0.01	Czech Republic	0.5898633069668745	0.1379743458044577	11	49.8	12	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.13429809634539736
famest	clump 0.01	France	0.08461808603424577	0.05893331044890067	92	46.2	6	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.046361368844698075
famest	clump 0.01	Germany	0.759134678011766	0.07970768621949414	75	51.1	14	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.05139689265889627
famest	clump 0.01	Hungary	0.1292323887836413	0.13340457160245614	19	47.1	9	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.10260885344776854
famest	clump 0.01	Ireland	1.22188390271925	0.0623079400081276	62	53.1	17	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.05670677037154047
famest	clump 0.01	Italy	-1.8003257599436464	0.0533162046328353	225	41.8	3	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.029377458520622415
