nam1	gbrbin	tsibin	count	mb	mb_scaled	nam2	mb_scaled_na	gbr_binmean	tsi_binmean
giant	(0.0899,0.101]	(0.0459,0.0618]	5813	2.2036814037502147e-5	0.04667385140348598	beta~GIANT	0.04667385140348598	0.1	0.05
giant	(0.0899,0.101]	(0.0618,0.0765]	9228	3.754009536194192e-4	0.09533213427621916	beta~GIANT	0.09533213427621916	0.1	0.07
giant	(0.0899,0.101]	(0.0765,0.0899]	6839	-2.4168738119608132e-4	0.010358999230760595	beta~GIANT	0.010358999230760595	0.1	0.08
giant	(0.0899,0.101]	(0.0899,0.101]	7417	-7.669003640285829e-4	-0.061962889224962084	beta~GIANT	-0.061962889224962084	0.1	0.1
giant	(0.0899,0.101]	(0.101,0.112]	10880	-6.656158088235294e-4	-0.0480159942637546	beta~GIANT	-0.0480159942637546	0.1	0.11
giant	(0.0899,0.101]	(0.112,0.129]	9194	-0.0011625407874700892	-0.11644262127270692	beta~GIANT	-0.11644262127270692	0.1	0.12
giant	(0.0899,0.101]	(0.129,0.143]	6591	-0.001246487634653315	-0.12800211183490243	beta~GIANT	-0.12800211183490243	0.1	0.14
giant	(0.0899,0.101]	(0.143,0.157]	3854	-0.0017584327970939283	-0.19849701988877405	beta~GIANT	-0.19849701988877405	0.1	0.15
giant	(0.0899,0.101]	(0.157,0.169]	3712	-0.0014850484913793104	-0.16085196938600826	beta~GIANT	-0.16085196938600826	0.1	0.16
giant	(0.0899,0.101]	(0.169,0.185]	2299	-0.00263249238799478	-0.31885512660554155	beta~GIANT	-0.31885512660554155	0.1	0.18
giant	(0.0899,0.101]	(0.185,0.202]	1352	-0.0012867603550295859	-0.13354767008662988	beta~GIANT	-0.13354767008662988	0.1	0.19
giant	(0.0899,0.101]	(0.202,0.219]	701	-0.002318972895863053	-0.2756834562931251	beta~GIANT	-0.2756834562931251	0.1	0.21
giant	(0.0899,0.101]	(0.219,0.23]	306	-0.002580392156862745	-0.311680918755371	beta~GIANT	-0.311680918755371	0.1	0.22
giant	(0.0899,0.101]	(0.23,0.25]	233	-0.002353218884120172	-0.28039913283529694	beta~GIANT	NA	0.1	0.24
giant	(0.0899,0.101]	(0.25,0.265]	68	-1.7352941176470587e-4	0.019744359501179726	beta~GIANT	NA	0.1	0.26
giant	(0.0899,0.101]	(0.265,0.281]	92	-0.012257608695652174	-1.644234754926257	beta~GIANT	NA	0.1	0.27
giant	(0.0899,0.101]	(0.281,0.298]	24	0.0017833333333333334	0.28920458573338964	beta~GIANT	NA	0.1	0.29
giant	(0.0899,0.101]	(0.298,0.316]	15	-0.0011	-0.10783074760775731	beta~GIANT	NA	0.1	0.31
giant	(0.0899,0.101]	(0.352,0.371]	4	-0.0020999999999999994	-0.24553086321740364	beta~GIANT	NA	0.1	0.36
giant	(0.0899,0.101]	(0.371,0.388]	2	0.0030499999999999998	0.46362473217227496	beta~GIANT	NA	0.1	0.38
giant	(0.101,0.112]	[0,0.0459]	2332	1.5287307032590052e-4	0.06469001902033175	beta~GIANT	0.06469001902033175	0.11	0.02
giant	(0.101,0.112]	(0.0459,0.0618]	3663	2.337155337155337e-4	0.07582203557525284	beta~GIANT	0.07582203557525284	0.11	0.05
giant	(0.101,0.112]	(0.0618,0.0765]	6259	6.18501358044416e-4	0.128807088070293	beta~GIANT	0.128807088070293	0.11	0.07
giant	(0.101,0.112]	(0.0765,0.0899]	5086	5.38242233582383e-4	0.11775539735314207	beta~GIANT	0.11775539735314207	0.11	0.08
giant	(0.101,0.112]	(0.0899,0.101]	5925	1.1274261603375515e-5	0.04519184668905186	beta~GIANT	0.04519184668905186	0.11	0.1
giant	(0.101,0.112]	(0.101,0.112]	9576	-4.4314954051796155e-4	-0.017382363398831306	beta~GIANT	-0.017382363398831306	0.11	0.11
giant	(0.101,0.112]	(0.112,0.129]	8668	-2.2448084910013845e-4	0.012728340689613015	beta~GIANT	0.012728340689613015	0.11	0.12
giant	(0.101,0.112]	(0.129,0.143]	6777	-9.396783237420687e-4	-0.08575443425230789	beta~GIANT	-0.08575443425230789	0.11	0.14
giant	(0.101,0.112]	(0.143,0.157]	4303	-9.451080641412967e-4	-0.08650211013301196	beta~GIANT	-0.08650211013301196	0.11	0.15
giant	(0.101,0.112]	(0.157,0.169]	4205	-0.0011344589774078479	-0.11257575278060815	beta~GIANT	-0.11257575278060815	0.11	0.16
giant	(0.101,0.112]	(0.169,0.185]	3023	-0.00199606351306649	-0.23121879695059885	beta~GIANT	-0.23121879695059885	0.11	0.18
giant	(0.101,0.112]	(0.185,0.202]	1729	-0.0019175824175824176	-0.22041194102927036	beta~GIANT	-0.22041194102927036	0.11	0.19
giant	(0.101,0.112]	(0.202,0.219]	1051	-7.470028544243577e-4	-0.05922299985211622	beta~GIANT	-0.05922299985211622	0.11	0.21
giant	(0.101,0.112]	(0.219,0.23]	604	-7.34271523178808e-4	-0.0574698940677393	beta~GIANT	-0.0574698940677393	0.11	0.22
giant	(0.101,0.112]	(0.23,0.25]	321	-0.0017389408099688474	-0.19581297100818867	beta~GIANT	-0.19581297100818867	0.11	0.24
giant	(0.101,0.112]	(0.25,0.265]	121	-0.0017892561983471073	-0.20274140580481934	beta~GIANT	NA	0.11	0.26
giant	(0.101,0.112]	(0.265,0.281]	45	-0.0016111111111111111	-0.17821080669713213	beta~GIANT	NA	0.11	0.27
giant	(0.101,0.112]	(0.281,0.298]	26	0.0042	0.6219798651233682	beta~GIANT	NA	0.11	0.29
giant	(0.101,0.112]	(0.298,0.316]	5	-9.4e-4	-0.08579872911021391	beta~GIANT	NA	0.11	0.31
giant	(0.101,0.112]	(0.316,0.337]	2	0.0055	0.8009900154159085	beta~GIANT	NA	0.11	0.33
giant	(0.101,0.112]	(0.337,0.352]	1	-0.0085	-1.1268116031191404	beta~GIANT	NA	0.11	0.34
giant	(0.101,0.112]	(0.352,0.371]	1	0.0025	0.3878896685869695	beta~GIANT	NA	0.11	0.36
giant	(0.112,0.129]	[0,0.0459]	1423	0.0019869992972593115	0.3172494125117469	beta~GIANT	0.3172494125117469	0.12	0.02
giant	(0.112,0.129]	(0.0459,0.0618]	2708	2.3899556868537666e-4	0.07654909700102319	beta~GIANT	0.07654909700102319	0.12	0.05
giant	(0.112,0.129]	(0.0618,0.0765]	4890	2.8030674846625764e-4	0.08223765123282138	beta~GIANT	0.08223765123282138	0.12	0.07
giant	(0.112,0.129]	(0.0765,0.0899]	4615	6.223185265438787e-4	0.1293327126139705	beta~GIANT	0.1293327126139705	0.12	0.08
giant	(0.112,0.129]	(0.0899,0.101]	5658	3.314422057264051e-4	0.08927900960929583	beta~GIANT	0.08927900960929583	0.12	0.1
giant	(0.112,0.129]	(0.101,0.112]	9155	1.9400327689787002e-4	0.0703536532203406	beta~GIANT	0.0703536532203406	0.12	0.11
giant	(0.112,0.129]	(0.112,0.129]	9685	-7.485183273102736e-4	-0.05943168064371012	beta~GIANT	-0.05943168064371012	0.12	0.12
giant	(0.112,0.129]	(0.129,0.143]	7880	-0.001073527918781726	-0.10418553896357302	beta~GIANT	-0.10418553896357302	0.12	0.14
giant	(0.112,0.129]	(0.143,0.157]	6143	-0.0011181019046068697	-0.11032338196487805	beta~GIANT	-0.11032338196487805	0.12	0.15
giant	(0.112,0.129]	(0.157,0.169]	6440	-0.0012481521739130435	-0.12823131908340382	beta~GIANT	-0.12823131908340382	0.12	0.16
giant	(0.112,0.129]	(0.169,0.185]	4225	-0.0013794082840236687	-0.14630530062010938	beta~GIANT	-0.14630530062010938	0.12	0.18
giant	(0.112,0.129]	(0.185,0.202]	2831	-0.0016995407983044861	-0.1903875848469847	beta~GIANT	-0.1903875848469847	0.12	0.19
giant	(0.112,0.129]	(0.202,0.219]	1728	-0.0014989583333333333	-0.16276735623118913	beta~GIANT	-0.16276735623118913	0.12	0.21
giant	(0.112,0.129]	(0.219,0.23]	1000	-0.0013703	-0.1450510888570447	beta~GIANT	-0.1450510888570447	0.12	0.22
giant	(0.112,0.129]	(0.23,0.25]	700	-0.0011972857142857143	-0.12122700171206718	beta~GIANT	-0.12122700171206718	0.12	0.24
giant	(0.112,0.129]	(0.25,0.265]	217	-0.0023175115207373274	-0.27548222476936357	beta~GIANT	NA	0.12	0.26
giant	(0.112,0.129]	(0.265,0.281]	116	-0.0019456896551724137	-0.22428231089488065	beta~GIANT	NA	0.12	0.27
giant	(0.112,0.129]	(0.281,0.298]	47	-0.0028574468085106382	-0.3498313763174762	beta~GIANT	NA	0.12	0.29
giant	(0.112,0.129]	(0.298,0.316]	21	-0.0030666666666666668	-0.3786409749733951	beta~GIANT	NA	0.12	0.31
giant	(0.112,0.129]	(0.316,0.337]	8	-0.00155	-0.16979579963209818	beta~GIANT	NA	0.12	0.33
giant	(0.112,0.129]	(0.337,0.352]	9	-0.01732222222222222	-2.341632623053131	beta~GIANT	NA	0.12	0.34
giant	(0.112,0.129]	(0.352,0.371]	5	-0.00768	-1.01389750831923	beta~GIANT	NA	0.12	0.36
giant	(0.112,0.129]	(0.371,0.388]	2	-0.003	-0.36946096726608535	beta~GIANT	NA	0.12	0.38
giant	(0.112,0.129]	(0.388,0.408]	4	-0.006725	-0.882393897912018	beta~GIANT	NA	0.12	0.4
giant	(0.129,0.143]	[0,0.0459]	805	0.0023156521739130433	0.3625049516224086	beta~GIANT	0.3625049516224086	0.14	0.02
giant	(0.129,0.143]	(0.0459,0.0618]	2004	6.911177644710578e-4	0.13880637563039866	beta~GIANT	0.13880637563039866	0.14	0.05
giant	(0.129,0.143]	(0.0618,0.0765]	4077	0.0018971057149865097	0.30487105584021684	beta~GIANT	0.30487105584021684	0.14	0.07
giant	(0.129,0.143]	(0.0765,0.0899]	4453	0.0018690770267235572	0.3010115022260215	beta~GIANT	0.3010115022260215	0.14	0.08
giant	(0.129,0.143]	(0.0899,0.101]	5576	3.805057388809182e-4	0.09603506379688999	beta~GIANT	0.09603506379688999	0.14	0.1
giant	(0.129,0.143]	(0.101,0.112]	9906	3.781546537452049e-4	0.09571131910189415	beta~GIANT	0.09571131910189415	0.14	0.11
giant	(0.129,0.143]	(0.112,0.129]	10757	7.972483034303243e-5	0.05461749791804866	beta~GIANT	0.05461749791804866	0.14	0.12
giant	(0.129,0.143]	(0.129,0.143]	10721	-8.800018654976215e-4	-0.07753697905287327	beta~GIANT	-0.07753697905287327	0.14	0.14
giant	(0.129,0.143]	(0.143,0.157]	7675	-5.296938110749185e-4	-0.029299519459876796	beta~GIANT	-0.029299519459876796	0.14	0.15
giant	(0.129,0.143]	(0.157,0.169]	9254	-7.697536200561919e-4	-0.06235578290982775	beta~GIANT	-0.06235578290982775	0.14	0.16
giant	(0.129,0.143]	(0.169,0.185]	6926	-0.001109009529309847	-0.10907136083531174	beta~GIANT	-0.10907136083531174	0.14	0.18
giant	(0.129,0.143]	(0.185,0.202]	5254	-7.534259611724401e-4	-0.06010746239390025	beta~GIANT	-0.06010746239390025	0.14	0.19
giant	(0.129,0.143]	(0.202,0.219]	3634	-7.541276829939461e-4	-0.06020408956984744	beta~GIANT	-0.06020408956984744	0.14	0.21
giant	(0.129,0.143]	(0.219,0.23]	2360	-0.0021053389830508473	-0.2462660418007433	beta~GIANT	-0.2462660418007433	0.14	0.22
giant	(0.129,0.143]	(0.23,0.25]	1900	-7.76842105263158e-5	0.03294225479233587	beta~GIANT	0.03294225479233587	0.14	0.24
giant	(0.129,0.143]	(0.25,0.265]	656	-1.2195121951219503e-6	0.04347145259259799	beta~GIANT	0.04347145259259799	0.14	0.26
giant	(0.129,0.143]	(0.265,0.281]	499	-6.396793587174349e-4	-0.04444454208564156	beta~GIANT	-0.04444454208564156	0.14	0.27
giant	(0.129,0.143]	(0.281,0.298]	184	-0.001542391304347826	-0.16874808136115518	beta~GIANT	NA	0.14	0.29
giant	(0.129,0.143]	(0.298,0.316]	105	-0.0021523809523809525	-0.2527437264160042	beta~GIANT	NA	0.14	0.31
giant	(0.129,0.143]	(0.316,0.337]	54	-0.0022685185185185187	-0.26873588269977	beta~GIANT	NA	0.14	0.33
giant	(0.129,0.143]	(0.337,0.352]	43	-0.022932558139534886	-3.114176527476036	beta~GIANT	NA	0.14	0.34
giant	(0.129,0.143]	(0.352,0.371]	1	0.018	2.522241460536488	beta~GIANT	NA	0.14	0.36
giant	(0.129,0.143]	(0.371,0.388]	13	-0.0029	-0.35569095570512077	beta~GIANT	NA	0.14	0.38
giant	(0.129,0.143]	(0.388,0.408]	9	-0.009644444444444443	-1.2844017354279578	beta~GIANT	NA	0.14	0.4
giant	(0.129,0.143]	(0.408,0.427]	1	-0.011	-1.4710618921432561	beta~GIANT	NA	0.14	0.42
giant	(0.143,0.157]	[0,0.0459]	228	0.0016324561403508772	0.2684287788168465	beta~GIANT	NA	0.15	0.02
giant	(0.143,0.157]	(0.0459,0.0618]	1122	1.516934046345811e-4	0.06452757891825633	beta~GIANT	0.06452757891825633	0.15	0.05
giant	(0.143,0.157]	(0.0618,0.0765]	2233	9.185848634124497e-4	0.17012862145201915	beta~GIANT	0.17012862145201915	0.15	0.07
giant	(0.143,0.157]	(0.0765,0.0899]	2563	7.301599687865783e-4	0.14418249167830124	beta~GIANT	0.14418249167830124	0.15	0.08
giant	(0.143,0.157]	(0.0899,0.101]	3931	7.976596285932333e-4	0.15347720263728945	beta~GIANT	0.15347720263728945	0.15	0.1
giant	(0.143,0.157]	(0.101,0.112]	7637	5.750818384182271e-4	0.12282821519805147	beta~GIANT	0.12282821519805147	0.15	0.11
giant	(0.143,0.157]	(0.112,0.129]	9636	3.8741178912411793e-4	0.09698602771378462	beta~GIANT	0.09698602771378462	0.15	0.12
giant	(0.143,0.157]	(0.129,0.143]	9843	-2.2961495479020624e-4	0.012021373742538538	beta~GIANT	0.012021373742538538	0.15	0.14
giant	(0.143,0.157]	(0.143,0.157]	8270	-7.006771463119709e-4	-0.05284394448934183	beta~GIANT	-0.05284394448934183	0.15	0.15
giant	(0.143,0.157]	(0.157,0.169]	10432	-7.837519171779141e-4	-0.06428335004182709	beta~GIANT	-0.06428335004182709	0.15	0.16
giant	(0.143,0.157]	(0.169,0.185]	9168	-9.695898778359511e-4	-0.08987325870909968	beta~GIANT	-0.08987325870909968	0.15	0.18
giant	(0.143,0.157]	(0.185,0.202]	7756	-8.474213512119649e-4	-0.07305063846911662	beta~GIANT	-0.07305063846911662	0.15	0.19
giant	(0.143,0.157]	(0.202,0.219]	5799	-9.198482496982238e-4	-0.0830238307639226	beta~GIANT	-0.0830238307639226	0.15	0.21
giant	(0.143,0.157]	(0.219,0.23]	4248	-0.0013080743879472694	-0.1364826148835027	beta~GIANT	-0.1364826148835027	0.15	0.22
giant	(0.143,0.157]	(0.23,0.25]	3387	-9.722468260997932e-4	-0.0902391207921996	beta~GIANT	-0.0902391207921996	0.15	0.24
giant	(0.143,0.157]	(0.25,0.265]	1621	-9.484885872917952e-4	-0.08696760856165667	beta~GIANT	-0.08696760856165667	0.15	0.26
