nam1	PC	corr	corse	corr_old	corse_old	num_snps	gbrtsicorr	corse2	pval	nam2
ukb_neale1	13	-0.004847637034133461	0.003798975320219625	-0.0048462463815229844	0.0011044430507552892	819793	-0.004983008295709591	0.004092434347003225	0.20194207121878902	beta~UKB
ukb_neale1	14	0.004172855335057944	0.004806650163208459	0.004172342282769058	0.0011044464070458265	819793	0.05623347836778858	0.00407402409584105	0.3853165498883543	beta~UKB
ukb_neale1	15	0.005358572581516866	0.0044095080721123885	0.0053575156629871055	0.0011044401698159115	819793	0.017170027398639317	0.004071597932093992	0.2242778550465625	beta~UKB
ukb_neale1	16	-0.007980692068908552	0.004091071521298926	-0.007980969580048099	0.0011044208453092248	819793	0.031630692773980125	0.004098809364814223	0.05108579453696056	beta~UKB
ukb_neale1	17	-7.091607597991425e-4	0.00519474379222086	-7.110310548243418e-4	0.0011044557413286392	819793	0.1620776139955559	0.004083998283634475	0.8914141199487815	beta~UKB
ukb_neale1	18	0.00144070117350829	0.006169313902679627	0.0014387188838054228	0.0011044548774519257	819793	0.18723135886871706	0.004079609019759124	0.8153522305330642	beta~UKB
ukb_neale1	19	-5.146995230384175e-4	0.004368088358724242	-5.14400857658956e-4	0.0011044558743918244	819793	-0.1013002584590733	0.004083601456077594	0.9062009669198565	beta~UKB
ukb_neale1	20	-0.006155612011076521	0.005403826042164912	-0.006156028583264515	0.0011044350927050773	819793	0.11107276642346865	0.0040950969700555015	0.25465266763499134	beta~UKB
SDS	1	0.09513570916855656	0.004543764456404183	0.09512576036994694	0.001099447602865124	819793	0.09031859543531617	0.003883500255310728	2.4320625398481533e-97	SDS
SDS	2	-0.06861246548649781	0.0049654621604498465	-0.0686079003863497	0.0011018535929285798	819793	-0.030177949781147063	0.004220284522575464	1.9867022520980227e-43	SDS
SDS	3	0.014780506539934261	0.004700914117136308	0.01478222545205869	0.00110433534426721	819793	-0.005380162002207421	0.004052267544648248	0.0016655460572993677	SDS
SDS	4	0.26059128038683105	0.00524900990189519	0.26058936748067146	0.0010662967670321628	819793	0.4193477035055121	0.003510539767120535	0	SDS
SDS	5	-0.01142104862992112	0.0027978535574210545	-0.01142309733485019	0.0011043839595043699	819793	-0.028582761574799304	0.004105798265438594	4.463534751698368e-5	SDS
SDS	6	-0.03219548930366097	0.0039584724168715505	-0.03219546160575833	0.001103883461405815	819793	-0.05006743420460848	0.0041477501872840515	4.177193536055566e-16	SDS
SDS	7	0.009052017577972136	0.0045236030190139095	0.009052772426199542	0.0011044107630184936	819793	0.01901912557433461	0.004064031280888743	0.04538553078532947	SDS
SDS	8	-0.049237932966840287	0.005242947199711016	-0.049239693344767695	0.0011031163049852965	819793	-0.09861099503208864	0.00418185148136258	5.9281068783804924e-21	SDS
SDS	9	0.06528462987325313	0.003725891504217048	0.06528403626907811	0.0011020999086378401	819793	0.19133602965710378	0.003947037978755627	9.754519818204403e-69	SDS
SDS	10	-0.010636115788799548	0.003260559081599619	-0.010635812072228632	0.0011043935504414352	819793	-0.0428287588553969	0.004104204764186546	0.0011060855075026475	SDS
SDS	11	0.21642763403894466	0.005288479251103554	0.2164261903291609	0.0010782792895598905	819793	0.5952645061757803	0.003613858708524232	0	SDS
SDS	12	0.033581677835606935	0.0032695764365976484	0.03358166872449508	0.001103833081588397	819793	0.09381343512493806	0.004013416120094989	9.52553445062015e-25	SDS
SDS	13	-0.004385318625642485	0.002919798179815364	-0.004384272056916849	0.0011044454056256395	819793	-0.004983008295709591	0.004091492798584815	0.1331164134724375	SDS
SDS	14	0.024451412719563602	0.0048729765046945156	0.024450413603227687	0.001104125836706576	819793	0.05623347836778858	0.0040323299853613544	5.227820037767254e-7	SDS
SDS	15	0.0060819270631447065	0.004105270094707097	0.006082374904886107	0.0011044355904946226	819793	0.017170027398639317	0.004070117124939766	0.13847536856537027	SDS
SDS	16	-4.187991164344951e-4	0.003632301069521648	-4.179117384864943e-4	0.001104455924069169	819793	0.031630692773980125	0.004083405742598842	0.9082084723665804	SDS
SDS	17	0.003593673754419086	0.004306187035982772	0.003595640073891495	0.0011044488809425787	819793	0.1620776139955559	0.004075208667248308	0.4039782706931365	SDS
SDS	18	0.011163007649326788	0.004771465495165908	0.011163476492133522	0.0011043871979457788	819793	0.18723135886871706	0.004059700224323827	0.01930779354852392	SDS
SDS	19	-0.007654144543020311	0.0034270032396205964	-0.007653603731878599	0.0011044236718230308	819793	-0.1013002584590733	0.004098145381621135	0.025517281880435366	SDS
SDS	20	-0.01699303642754585	0.0050827048338858176	-0.0169943238988102	0.0011042965216593013	819793	0.11107276642346865	0.00411709229377048	8.278662319327431e-4	SDS
